Country;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Abkhazia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Akrotiri and Dhekelia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;;;;;;;;;;;;;;;;;;;;;1060.68;1099.51;1110.51;1101.34;1065.24;1059.87;1091.56;1054.25;1013.63;1092.47;977.77;687.99;643.29;714.24;784.58;899.78;990.65;895.56;1013.51;1118.17;1200.14;1281.84;1313.72;1381.04;1454.02;1525.72;1594.50;1681.61;1804.42;1857.35;1915.42;1965.71
Algeria;1280.38;1085.41;855.95;1128.42;1170.32;1215.02;1127.61;1200.56;1291.86;1359.49;1436.13;1235.66;1527.65;1538.31;1603.35;1632.30;1714.07;1747.67;1848.44;1923.29;1876.08;1869.62;1924.61;1963.37;2008.47;2020.09;1969.76;1902.06;1833.15;1864.71;1832.74;1766.66;1755.97;1680.38;1630.38;1660.00;1698.33;1690.24;1750.65;1781.14;1794.41;1814.42;1871.92;1971.51;2043.14;2115.19;2124.96;2155.49;2173.79;2192.70;2231.98;2255.23
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;18256.27;18142.99;18646.94;19135.30;19304.37;18607.41;18511.40;18394.46;18038.60;17379.33;17013.70;16169.02;15514.66;14976.59;14554.76;14354.91;14444.46;14983.63;15517.49;15947.49;16070.07;15813.10;15194.46;14318.19;14092.42;14125.59;14662.74;16071.64;16755.22;17513.18;17539.44;19085.36;19430.05;19834.63;20254.35;20737.95;21595.40;21495.81;21943.34;;;
Angola;;;;;;;;;;;;;;;;;;;;;;;;;;362.48;362.35;381.16;392.77;384.42;372.79;357.31;322.09;234.67;235.20;251.90;272.29;286.00;297.42;298.57;298.41;297.90;329.57;328.78;353.23;404.27;473.14;562.99;622.57;619.82;623.25;629.96
Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;;;;;;;;;;;;;;;;;;3815.95;3962.54;4254.02;4639.19;4869.48;4936.89;5244.93;5850.66;6422.81;7360.35;8097.65;8651.25;9220.86;9454.02;9561.69;9484.40;9775.60;10136.70;9466.10;9844.76;10058.49;10237.41;9863.39;10143.37;9639.58;9753.31;10241.68;10599.28;11102.93;12452.28;13495.13;13352.17;11645.63;10614.79;9977.96
Argentina;5251.88;5448.30;5316.58;4956.22;5375.46;5855.61;5733.31;5833.05;6028.12;6515.36;6611.23;6872.76;6867.51;6940.17;7200.91;7081.66;6830.31;7193.57;6767.81;7349.62;7540.69;7004.46;6556.35;6707.06;6751.82;6146.16;6531.93;6623.37;6360.59;5800.06;5581.96;6203.45;6851.75;7162.09;7483.56;7179.94;7484.00;7994.12;8205.47;7839.51;7695.59;7283.06;6428.39;6933.16;7492.25;8107.98;8717.18;9388.69;9935.83;9933.23;10749.32;11601.63
Armenia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;795.38;708.85;419.98;392.06;423.26;461.92;496.87;519.49;562.03;584.05;621.42;683.10;774.37;883.25;975.05;1109.03;1253.81;1424.19;1520.03;1302.46;1326.71;1384.09
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;12995.83;15394.32;16791.73;18467.96;18465.44;18178.84;17789.11;17827.54;18952.47;18550.77;19503.05;20408.20;20269.26;20589.77;19983.98;19009.17;18853.13;;;;;;;;
Australia;9407.69;9451.55;9351.02;9749.13;10231.14;10633.09;10635.68;11165.71;11533.03;12091.76;12708.92;12777.83;13034.08;13176.59;13375.98;13375.56;13590.09;13918.04;13879.19;14297.38;14555.95;14814.07;15040.85;14510.14;15027.67;15574.44;16024.03;16195.47;16832.70;17199.91;17553.38;17270.33;17137.56;17669.32;18191.16;18690.44;19183.14;19709.66;20387.77;21154.76;21708.04;21824.09;22402.99;22825.57;23498.26;23929.16;24295.08;24765.55;25190.72;25007.70;25190.84;25306.82
Austria;7434.18;7802.97;7960.71;8237.06;8683.45;8927.46;9365.31;9575.18;9951.61;10539.70;11085.10;11600.22;12248.95;12776.99;13258.09;13244.96;13875.87;14575.17;14556.24;15362.14;15628.12;15565.82;15867.51;16365.69;16375.11;16776.39;17151.58;17373.36;17920.57;18533.48;19192.07;19655.37;19847.22;19787.93;20185.42;20692.26;21174.05;21638.41;22432.91;23181.69;23974.18;24087.36;24375.11;24466.71;24945.05;25370.47;26171.69;27036.49;27305.92;26184.00;26642.99;27266.40
Azerbaijan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1250.74;1222.85;932.26;706.10;559.38;487.73;489.10;512.50;558.43;594.51;655.10;714.40;784.25;865.50;945.47;1182.92;1573.64;1945.64;2110.97;2259.88;2344.81;2338.90
Bahamas;11926.46;12558.30;13186.10;13858.52;14584.43;15374.34;16045.53;16866.15;17592.55;18516.80;16944.18;16773.32;15825.02;16681.08;13616.13;11368.41;11708.98;12508.24;13971.08;17236.66;17954.42;15939.87;16632.42;16855.97;18841.52;19359.50;19341.59;19571.05;19685.36;20653.87;19970.51;18789.35;17736.28;17466.21;17707.13;18195.25;18702.81;18853.24;19514.57;20665.69;21258.29;21530.37;21809.35;21228.08;21106.72;21507.72;21728.71;21721.62;20911.60;19619.12;19395.15;19466.99
Bahrain;;;;;;;;;;;;;;;;;;;;;11127.87;10136.48;9084.60;9409.41;9619.93;8896.29;8710.79;9286.89;9592.07;9308.55;9427.86;10201.12;10611.09;11691.79;11385.24;11541.88;11685.07;11679.36;11873.36;12077.11;12489.47;12976.21;13668.12;14536.89;14788.89;14775.63;14082.91;13373.22;12505.21;11600.71;11236.40;
Bangladesh;254.83;262.77;269.53;260.93;281.26;277.27;275.39;261.37;277.18;272.98;282.25;262.98;224.21;230.08;249.85;236.19;244.47;244.68;254.58;259.05;253.78;256.25;255.34;258.60;264.82;266.09;269.96;272.55;271.11;271.09;280.17;282.78;290.41;297.17;302.82;311.17;318.92;329.40;339.86;349.65;363.64;375.99;385.81;399.40;417.95;436.69;459.86;483.97;508.56;532.08;558.06;588.37
Barbados;3396.95;3646.65;3961.40;3744.02;3915.33;4347.90;4509.68;4978.13;5310.78;5693.66;6210.63;6420.05;6461.31;6504.71;6164.53;6379.77;6351.83;6613.63;7006.12;7527.67;7861.83;7581.70;7170.54;7149.00;7353.52;7356.83;8015.60;8063.65;8533.74;8930.26;8471.09;8197.55;7766.00;7820.33;8107.89;8204.38;8328.89;8833.05;9166.80;9375.66;9565.40;9058.90;8717.53;8873.57;9181.62;9454.34;9757.44;9783.98;9781.36;9243.59;;
Belarus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1409.78;1392.18;1255.82;1157.77;1023.51;920.03;948.96;1061.63;1156.30;1199.66;1273.05;1337.85;1411.76;1519.00;1701.45;1871.39;2067.61;2253.46;2510.28;2539.51;2739.95;2890.35
Belgium;7454.72;7799.89;8173.82;8465.98;8969.63;9205.04;9431.61;9742.06;10110.80;10750.64;11360.20;11791.49;12367.39;13115.31;13670.98;13363.54;14093.74;14164.49;14553.44;14880.77;15524.96;15482.01;15578.36;15628.18;16013.87;16273.54;16564.26;16931.90;17675.35;18222.22;18737.96;19010.67;19223.50;18964.37;19516.10;19939.71;20184.33;20887.61;21245.09;21946.75;22697.01;22801.78;23008.45;23097.21;23750.46;24033.78;24512.41;25034.67;25082.37;24190.59;24550.40;24733.63
Belize;950.42;963.11;974.77;987.47;1003.12;1021.89;1042.51;1067.78;1122.14;1157.37;1193.03;1222.44;1331.03;1385.88;1552.02;1579.64;1546.19;1606.72;1688.10;1765.48;1979.80;1953.27;1897.66;1820.57;1798.96;1772.01;1807.39;1955.04;2081.00;2309.74;2476.82;2666.27;2912.13;3004.32;2923.50;2867.58;2836.49;2834.89;2836.13;3026.78;3329.66;3392.85;3459.62;3664.65;3713.23;3705.05;3754.12;3680.92;3684.07;3561.35;3542.36;3490.23
