Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Afghanistan;21.49;21.47;21.45;21.44;21.43;21.41;21.40;21.38;21.34;21.30;21.25;21.20;21.14;21.06;20.98;20.91;20.85;20.81;20.79;20.75;20.70;20.63;20.60;20.59;20.58;20.58;20.59;20.60;20.62
Albania;25.23;25.24;25.26;25.27;25.28;25.29;25.29;25.30;25.30;25.32;25.32;25.28;25.23;25.21;25.22;25.26;25.31;25.34;25.39;25.47;25.56;25.67;25.77;25.87;25.98;26.09;26.21;26.33;26.45
Algeria;22.26;22.35;22.44;22.52;22.61;22.70;22.77;22.84;22.91;22.98;23.05;23.11;23.19;23.26;23.32;23.40;23.47;23.54;23.62;23.69;23.78;23.86;23.95;24.05;24.16;24.27;24.38;24.49;24.60
Andorra;25.67;25.71;25.75;25.78;25.82;25.85;25.89;25.93;25.98;26.04;26.11;26.18;26.24;26.30;26.37;26.44;26.51;26.58;26.66;26.75;26.83;26.92;27.03;27.12;27.23;27.33;27.44;27.53;27.63
Angola;20.95;20.94;20.94;20.93;20.94;20.95;20.96;20.98;21.01;21.05;21.09;21.12;21.15;21.14;21.14;21.16;21.19;21.23;21.27;21.32;21.37;21.44;21.52;21.60;21.69;21.81;21.94;22.09;22.25
Antigua and Barbuda;23.31;23.39;23.46;23.54;23.64;23.73;23.83;23.94;24.05;24.16;24.27;24.37;24.46;24.54;24.61;24.66;24.73;24.79;24.85;24.92;24.99;25.06;25.13;25.21;25.30;25.40;25.51;25.64;25.77
Argentina;25.38;25.45;25.50;25.56;25.61;25.67;25.72;25.79;25.84;25.89;25.92;25.99;26.08;26.17;26.28;26.38;26.47;26.58;26.69;26.79;26.88;26.96;27.00;27.05;27.11;27.19;27.28;27.39;27.50
Armenia;23.82;23.86;23.91;23.96;24.00;24.04;24.09;24.13;24.17;24.20;24.21;24.20;24.13;24.06;24.02;24.02;24.03;24.04;24.07;24.12;24.18;24.27;24.38;24.50;24.64;24.81;24.99;25.18;25.36
Australia;24.93;25.00;25.08;25.15;25.23;25.32;25.41;25.51;25.60;25.70;25.81;25.90;26.01;26.11;26.20;26.29;26.38;26.47;26.56;26.66;26.74;26.84;26.94;27.04;27.14;27.25;27.35;27.46;27.56
Austria;24.84;24.88;24.93;24.98;25.02;25.06;25.11;25.15;25.19;25.25;25.31;25.37;25.44;25.51;25.57;25.62;25.66;25.72;25.76;25.82;25.87;25.94;26.00;26.06;26.14;26.21;26.29;26.38;26.47
Azerbaijan;24.49;24.53;24.56;24.60;24.64;24.68;24.72;24.76;24.79;24.82;24.83;24.84;24.82;24.76;24.69;24.62;24.56;24.50;24.47;24.48;24.51;24.57;24.66;24.77;24.89;25.06;25.26;25.46;25.65
Bahamas;24.21;24.31;24.43;24.54;24.67;24.78;24.91;25.03;25.15;25.26;25.36;25.44;25.51;25.58;25.66;25.72;25.80;25.89;25.99;26.12;26.26;26.39;26.51;26.63;26.76;26.89;27.01;27.13;27.25
Bahrain;23.98;24.09;24.21;24.32;24.43;24.54;24.63;24.75;24.87;24.99;25.11;25.25;25.40;25.56;25.72;25.88;26.03;26.19;26.34;26.50;26.65;26.80;26.95;27.09;27.24;27.39;27.54;27.69;27.84
Bangladesh;20.52;20.48;20.44;20.40;20.37;20.33;20.30;20.26;20.23;20.21;20.18;20.16;20.14;20.13;20.12;20.11;20.10;20.11;20.13;20.13;20.15;20.17;20.19;20.21;20.24;20.28;20.32;20.35;20.40
Barbados;24.36;24.43;24.49;24.55;24.60;24.65;24.72;24.78;24.84;24.91;24.96;25.01;25.05;25.09;25.14;25.20;25.27;25.35;25.42;25.52;25.60;25.69;25.78;25.87;25.96;26.06;26.17;26.28;26.38
Belarus;24.91;24.91;24.92;24.92;24.92;24.92;24.93;24.94;24.97;24.99;25.02;25.05;25.07;25.10;25.10;25.10;25.11;25.14;25.17;25.21;25.25;25.32;25.40;25.48;25.58;25.71;25.86;26.01;26.16
Belgium;25.10;25.12;25.16;25.19;25.22;25.25;25.29;25.32;25.38;25.43;25.49;25.56;25.64;25.71;25.78;25.84;25.91;25.99;26.05;26.12;26.18;26.24;26.31;26.37;26.45;26.52;26.60;26.68;26.76
Belize;24.54;24.63;24.72;24.76;24.82;24.86;24.90;24.96;25.02;25.08;25.16;25.24;25.35;25.45;25.54;25.64;25.73;25.81;25.89;25.98;26.08;26.19;26.31;26.44;26.56;26.68;26.80;26.91;27.02
Benin;20.81;20.84;20.88;20.91;20.96;21.01;21.05;21.08;21.13;21.17;21.21;21.26;21.30;21.35;21.40;21.46;21.52;21.59;21.65;21.72;21.80;21.87;21.95;22.03;22.10;22.18;22.25;22.33;22.42
Bermuda;25.08;25.20;25.31;25.44;25.56;25.70;25.82;25.94;26.07;26.19;26.30;26.41;26.53;26.65;26.76;26.89;27.01;27.13;27.24;27.34;27.45;27.56;27.66;27.77;27.87;27.99;28.12;28.27;28.42
Bhutan;21.82;21.80;21.79;21.77;21.77;21.75;21.75;21.76;21.77;21.78;21.80;21.82;21.84;21.87;21.90;21.94;21.99;22.04;22.09;22.15;22.21;22.27;22.34;22.41;22.48;22.56;22.63;22.72;22.82
Bolivia;23.00;23.04;23.07;23.09;23.11;23.13;23.17;23.21;23.26;23.30;23.35;23.40;23.45;23.50;23.56;23.62;23.69;23.76;23.82;23.89;23.95;24.02;24.08;24.14;24.20;24.26;24.32;24.37;24.43
Bosnia and Herzegovina;25.32;25.33;25.35;25.37;25.40;25.42;25.44;25.44;25.44;25.42;25.40;25.35;25.27;25.17;25.10;25.07;25.12;25.22;25.34;25.45;25.58;25.71;25.84;25.97;26.12;26.25;26.37;26.49;26.61
Botswana;19.54;19.58;19.62;19.67;19.72;19.78;19.83;19.90;19.98;20.08;20.19;20.30;20.41;20.51;20.59;20.67;20.75;20.83;20.91;20.99;21.09;21.20;21.32;21.44;21.57;21.70;21.84;21.99;22.13
Brazil;22.64;22.73;22.82;22.90;22.98;23.07;23.17;23.28;23.38;23.50;23.60;23.71;23.83;23.93;24.04;24.15;24.26;24.38;24.49;24.61;24.73;24.85;24.97;25.09;25.22;25.35;25.49;25.64;25.79
British Virgin Islands;23.74;23.80;23.85;23.91;23.97;24.02;24.07;24.13;24.20;24.27;24.37;24.50;24.65;24.84;25.04;25.27;25.49;25.70;25.90;26.08;26.26;26.42;26.56;26.67;26.79;26.91;27.03;27.17;27.31
Brunei;23.24;23.27;23.30;23.34;23.37;23.39;23.41;23.42;23.44;23.46;23.49;23.51;23.53;23.56;23.61;23.65;23.69;23.75;23.81;23.85;23.88;23.90;23.93;23.98;24.02;24.06;24.10;24.14;24.18
Bulgaria;25.29;25.34;25.40;25.45;25.51;25.56;25.61;25.67;25.72;25.77;25.79;25.79;25.79;25.78;25.78;25.78;25.78;25.77;25.78;25.80;25.84;25.90;25.96;26.03;26.11;26.21;26.31;26.42;26.54
Burkina Faso;20.03;20.06;20.09;20.12;20.14;20.18;20.22;20.25;20.29;20.32;20.34;20.37;20.40;20.43;20.46;20.49;20.53;20.57;20.61;20.66;20.71;20.76;20.82;20.89;20.95;21.03;21.11;21.19;21.27
Burundi;21.09;21.11;21.13;21.13;21.13;21.15;21.17;21.20;21.23;21.25;21.27;21.31;21.34;21.35;21.35;21.34;21.33;21.32;21.31;21.31;21.30;21.30;21.32;21.34;21.36;21.39;21.42;21.46;21.50
Cambodia;19.70;19.71;19.72;19.73;19.75;19.77;19.79;19.81;19.84;19.86;19.88;19.91;19.94;19.97;20.00;20.04;20.08;20.13;20.16;20.21;20.26;20.31;20.36;20.42;20.48;20.56;20.64;20.72;20.80
Cameroon;21.79;21.86;21.95;22.04;22.12;22.21;22.30;22.36;22.39;22.43;22.46;22.48;22.51;22.53;22.56;22.60;22.64;22.70;22.77;22.83;22.91;22.98;23.07;23.17;23.27;23.38;23.47;23.58;23.68
Canada;25.24;25.33;25.41;25.49;25.58;25.66;25.76;25.85;25.94;26.04;26.13;26.22;26.32;26.41;26.50;26.59;26.67;26.75;26.84;26.92;26.99;27.06;27.13;27.19;27.24;27.30;27.35;27.40;27.45
Cape Verde;20.66;20.71;20.77;20.84;20.92;21.00;21.08;21.19;21.30;21.40;21.49;21.57;21.66;21.74;21.83;21.95;22.04;22.13;22.24;22.36;22.47;22.59;22.71;22.83;22.95;23.08;23.22;23.37;23.52
Central African Rep.;20.96;20.96;20.96;20.94;20.92;20.89;20.88;20.85;20.83;20.82;20.82;20.82;20.80;20.79;20.78;20.78;20.78;20.78;20.80;20.81;20.84;20.86;20.88;20.89;20.90;20.92;20.94;20.96;20.99
Chad;20.23;20.23;20.23;20.25;20.27;20.32;20.35;20.38;20.42;20.47;20.50;20.55;20.59;20.61;20.63;20.67;20.70;20.74;20.79;20.83;20.87;20.91;20.96;21.03;21.13;21.23;21.32;21.40;21.49
Chile;24.48;24.56;24.62;24.68;24.74;24.80;24.85;24.90;24.96;25.04;25.12;25.21;25.32;25.44;25.55;25.66;25.78;25.89;25.99;26.08;26.18;26.27;26.37;26.47;26.57;26.68;26.79;26.90;27.02
China;21.58;21.58;21.60;21.61;21.64;21.68;21.72;21.76;21.81;21.86;21.90;21.95;22.01;22.07;22.15;22.24;22.31;22.39;22.45;22.50;22.54;22.58;22.62;22.66;22.70;22.75;22.80;22.86;22.92
Colombia;22.07;22.18;22.27;22.36;22.45;22.54;22.63;22.74;22.84;22.95;23.06;23.16;23.28;23.40;23.51;23.64;23.75;23.86;23.96;24.05;24.14;24.23;24.32;24.41;24.50;24.60;24.71;24.82;24.94
Comoros;20.98;21.01;21.04;21.08;21.11;21.14;21.19;21.25;21.30;21.36;21.42;21.48;21.53;21.57;21.60;21.64;21.66;21.69;21.70;21.72;21.74;21.76;21.79;21.83;21.87;21.91;21.96;22.01;22.06
Congo, Dem. Rep.;20.75;20.74;20.72;20.71;20.70;20.69;20.69;20.68;20.68;20.67;20.67;20.65;20.62;20.56;20.49;20.40;20.31;20.22;20.14;20.06;19.97;19.90;19.84;19.81;19.79;19.79;19.80;19.83;19.87
Congo, Rep.;20.64;20.69;20.77;20.83;20.90;20.96;21.01;21.05;21.09;21.12;21.15;21.17;21.19;21.20;21.22;21.24;21.27;21.30;21.33;21.35;21.38;21.42;21.47;21.52;21.57;21.64;21.72;21.80;21.87
Cook Islands;26.20;26.43;26.67;26.91;27.16;27.40;27.64;27.87;28.09;28.31;28.53;28.74;28.96;29.18;29.40;29.61;29.82;30.03;30.23;30.45;30.68;30.92;31.16;31.41;31.67;31.92;32.17;32.42;32.67
Costa Rica;23.69;23.77;23.83;23.88;23.95;24.02;24.10;24.18;24.27;24.37;24.49;24.60;24.73;24.85;24.96;25.05;25.15;25.24;25.34;25.46;25.57;25.68;25.78;25.88;25.99;26.11;26.23;26.36;26.48
Cote d'Ivoire;21.13;21.18;21.23;21.27;21.31;21.35;21.39;21.44;21.48;21.53;21.57;21.60;21.64;21.68;21.71;21.75;21.80;21.86;21.92;21.98;22.04;22.09;22.15;22.22;22.28;22.35;22.42;22.49;22.56
